,Country Name,Control of Corruption: Estimate,Multilateral debt service (% of public and publicly guaranteed debt service),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to clean fuels and technologies for cooking (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Access to electricity (% of population),Compensation of employees (current LCU),Compensation of employees (% of expense),Adjusted savings: education expenditure (current US$),Adjusted net national income per capita (current US$),Terms of trade adjustment (constant LCU),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of social insurance programs (% of total welfare of beneficiary households),Political Stability and Absence of Violence/Terrorism: Estimate,"Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Children out of school, primary","Children out of school, primary, female","Children out of school, female (% of female primary school age)","Children out of school, primary, male","Children out of school, male (% of male primary school age)",Children out of school (% of primary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Adolescents out of school (% of lower secondary school age),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),"Community health workers (per 1,000 people)",Pregnant women receiving prenatal care (%),People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Proportion of people living below 50 percent of median income (%),Multidimensional poverty headcount ratio (UNDP) (% of population),Multidimensional poverty headcount ratio (World Bank) (% of population),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, male (% of male children in employment, ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Children in employment, wage workers (% of children in employment, ages 7-14)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population)
204,Samoa,72.66666666666667,113.66666666666667,156.95833333333334,171.5,171.79166666666666,125.08333333333333,113.875,134.375,143.5,34.958333333333336,183.875,130.41666666666666,95.66666666666667,72.41666666666667,,,82.95833333333333,25.25,48.5,37.25,61.25,53.291666666666664,24.625,33.791666666666664,26.0,185.25,33.666666666666664,23.125,53.75,32.166666666666664,80.625,72.54166666666667,77.33333333333333,77.70833333333333,76.20833333333333,62.916666666666664,93.20833333333333,73.625,143.375,105.75,,99.5,85.83333333333333,131.91666666666666,137.25,139.54166666666666,71.75,47.0,46.0,6.791666666666667,92.25,40.75,110.54166666666667,106.75,107.33333333333333,,,,,,,,51.041666666666664,127.08333333333333,128.625,107.25,,,,138.875,,35.375,30.708333333333332,,210.33333333333334,121.41666666666667,207.20833333333334,251.91666666666666
205,San Marino,32.25,,1.0,1.0,1.0,1.0,1.0,1.0,148.5,104.25,171.20833333333334,,92.625,,,,,19.291666666666668,1.0,84.375,1.0,1.0,3.0833333333333335,3.25,3.0833333333333335,62.0,12.791666666666666,4.666666666666667,90.45833333333333,7.5,103.625,107.70833333333333,74.95833333333333,82.41666666666667,90.29166666666667,110.0,72.04166666666667,194.04166666666666,1.0,1.0,,,1.0,,86.79166666666667,22.916666666666668,,,,,,,,,,,,,,,,,143.58333333333334,54.166666666666664,60.0,81.79166666666667,,,,9.25,,,,,67.66666666666667,240.45833333333334,19.416666666666668,13.208333333333334
206,Sao Tome and Principe,90.95833333333333,106.66666666666667,223.5,228.5,226.95833333333334,195.375,226.0,199.625,,,195.04166666666666,181.58333333333334,,110.79166666666667,,92.75,103.91666666666667,82.25,101.375,102.20833333333333,121.20833333333333,121.45833333333333,116.0,93.95833333333333,108.70833333333333,218.33333333333334,46.083333333333336,38.333333333333336,97.08333333333333,33.666666666666664,89.125,108.33333333333333,114.875,119.25,127.125,21.0,176.75,166.625,204.29166666666666,134.16666666666666,6.958333333333333,65.0,219.41666666666666,148.75,67.75,162.70833333333334,56.0,56.0,122.83333333333333,157.125,164.5,158.70833333333334,173.04166666666666,154.125,163.70833333333334,,,,,,,,,130.83333333333334,86.66666666666667,200.25,,,,229.45833333333334,39.833333333333336,79.75,107.20833333333333,55.041666666666664,225.79166666666666,93.0,224.08333333333334,100.70833333333333
207,Saudi Arabia,86.375,,1.0,1.0,1.0,1.0,1.0,9.458333333333334,32.458333333333336,3.875,16.583333333333332,45.208333333333336,80.66666666666667,,,,,136.625,89.95833333333333,118.70833333333333,69.79166666666667,77.5,103.70833333333333,87.125,93.5,108.04166666666667,156.0,136.16666666666666,100.08333333333333,151.0,123.66666666666667,128.0,83.91666666666667,94.04166666666667,86.70833333333333,,,,75.625,,,67.58333333333333,82.5,117.875,161.29166666666666,57.791666666666664,,,,173.66666666666666,194.375,171.41666666666666,13.125,4.833333333333333,5.625,,,,,,,,159.04166666666666,21.833333333333332,78.75,105.375,,,,55.958333333333336,,,,,71.25,7.875,142.16666666666666,44.416666666666664
208,Senegal,99.875,66.5,178.79166666666666,164.16666666666666,167.04166666666666,209.875,204.91666666666666,207.875,24.041666666666668,73.0,103.58333333333333,177.04166666666666,73.5,93.125,34.875,64.66666666666667,95.16666666666667,123.5,189.08333333333334,184.75,189.16666666666666,188.83333333333334,185.70833333333334,185.08333333333334,186.08333333333334,73.45833333333333,172.25,158.75,165.45833333333334,163.70833333333334,174.54166666666666,178.66666666666666,169.58333333333334,175.91666666666666,181.625,85.45833333333333,169.66666666666666,37.333333333333336,204.125,146.75,73.0,95.54166666666667,199.75,200.41666666666666,184.875,191.70833333333334,78.41666666666667,89.0,133.79166666666666,209.5,208.16666666666666,207.41666666666666,182.33333333333334,185.0,181.54166666666666,16.625,8.125,12.875,81.375,89.875,85.125,55.916666666666664,163.875,64.29166666666667,90.25,90.70833333333333,17.25,7.458333333333333,8.458333333333334,206.16666666666666,55.833333333333336,111.45833333333333,109.70833333333333,39.708333333333336,231.75,64.70833333333333,231.29166666666666,178.95833333333334
209,Serbia,123.95833333333333,72.16666666666667,125.625,129.875,128.33333333333334,56.708333333333336,69.54166666666667,61.25,44.375,144.79166666666666,78.33333333333333,92.25,89.25,7.375,5.708333333333333,23.208333333333332,11.666666666666666,130.125,33.125,92.125,34.208333333333336,34.291666666666664,46.583333333333336,24.208333333333332,40.75,185.25,58.041666666666664,63.958333333333336,62.791666666666664,63.875,60.708333333333336,56.833333333333336,24.666666666666668,22.708333333333332,32.041666666666664,42.125,172.91666666666666,30.375,140.79166666666666,86.875,,38.708333333333336,67.54166666666667,64.875,45.333333333333336,86.16666666666667,130.16666666666666,1.0,11.916666666666666,55.541666666666664,94.41666666666667,87.54166666666667,91.875,102.83333333333333,95.33333333333333,88.58333333333333,86.75,90.04166666666667,6.916666666666667,11.25,7.958333333333333,36.333333333333336,155.95833333333334,170.08333333333334,177.04166666666666,208.45833333333334,20.875,43.125,36.958333333333336,67.58333333333333,,41.625,22.416666666666668,,79.75,245.45833333333334,15.916666666666666,140.83333333333334
210,Seychelles,45.75,,1.0,1.0,1.0,71.20833333333333,75.58333333333333,73.875,129.79166666666666,75.04166666666667,174.33333333333334,55.041666666666664,80.04166666666667,,,,,55.0,47.708333333333336,29.375,69.75,57.583333333333336,63.75,90.41666666666667,77.33333333333333,62.0,22.375,19.708333333333332,86.25,16.958333333333332,77.83333333333333,89.08333333333333,38.75,68.83333333333333,49.541666666666664,117.95833333333333,141.54166666666666,129.25,116.54166666666667,,,,43.0,70.625,159.625,75.375,81.16666666666667,19.0,52.958333333333336,,,,,,,,,,,,,,48.541666666666664,47.833333333333336,35.333333333333336,92.83333333333333,,,,166.83333333333334,,,,,54.208333333333336,144.54166666666666,107.20833333333333,142.95833333333334
211,Sierra Leone,153.33333333333334,104.875,227.16666666666666,234.70833333333334,233.66666666666666,246.04166666666666,254.29166666666666,251.79166666666666,,,161.875,223.29166666666666,96.91666666666667,117.0,,102.95833333333333,105.54166666666667,131.25,190.625,191.95833333333334,185.79166666666666,189.79166666666666,192.70833333333334,194.45833333333334,193.83333333333334,108.04166666666667,116.29166666666667,79.95833333333333,59.208333333333336,114.79166666666667,94.58333333333333,91.95833333333333,154.0,162.375,167.04166666666666,61.875,172.16666666666666,64.16666666666667,243.5,163.45833333333334,62.75,105.125,254.625,202.20833333333334,33.791666666666664,203.25,40.25,98.0,140.66666666666666,26.5,183.875,142.33333333333334,228.33333333333334,227.79166666666666,229.75,25.875,20.583333333333332,30.708333333333332,72.125,77.41666666666667,67.16666666666667,91.20833333333333,150.16666666666666,110.29166666666667,131.25,52.75,6.958333333333333,7.625,5.583333333333333,251.54166666666666,55.5,123.83333333333333,121.95833333333333,66.95833333333333,225.58333333333334,61.625,226.79166666666666,193.875
212,Singapore,5.291666666666667,,1.0,1.0,1.0,1.0,1.0,1.0,93.83333333333333,113.54166666666667,48.708333333333336,16.083333333333332,111.91666666666667,,,,,15.583333333333334,25.5,65.5,26.708333333333332,24.583333333333332,70.375,47.083333333333336,60.916666666666664,218.33333333333334,36.583333333333336,18.0,6.625,24.666666666666668,10.666666666666666,26.5,18.125,5.0,14.625,175.875,167.0,12.583333333333334,1.0,1.0,28.666666666666668,,1.0,50.083333333333336,194.66666666666666,36.25,,,,42.75,34.166666666666664,38.166666666666664,33.5,42.041666666666664,40.125,,,,,,,,44.625,80.66666666666667,42.541666666666664,69.45833333333333,,,,9.916666666666666,,1.0,3.0,,4.958333333333333,159.875,10.083333333333334,1.0
213,Sint Maarten (Dutch part),,,,,,1.0,40.041666666666664,27.541666666666668,,,,,,,,,,,,,,,,,,7.083333333333333,,,,,,,,,,,,,116.29166666666667,,,,49.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,102.16666666666667,,,,,9.125,83.83333333333333,56.75,1.0
