,Country Name,Control of Corruption: Estimate,Multilateral debt service (% of public and publicly guaranteed debt service),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to clean fuels and technologies for cooking (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Access to electricity (% of population),Compensation of employees (current LCU),Compensation of employees (% of expense),Adjusted savings: education expenditure (current US$),Adjusted net national income per capita (current US$),Terms of trade adjustment (constant LCU),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of social insurance programs (% of total welfare of beneficiary households),Political Stability and Absence of Violence/Terrorism: Estimate,"Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Children out of school, primary","Children out of school, primary, female","Children out of school, female (% of female primary school age)","Children out of school, primary, male","Children out of school, male (% of male primary school age)",Children out of school (% of primary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Adolescents out of school (% of lower secondary school age),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),"Community health workers (per 1,000 people)",Pregnant women receiving prenatal care (%),People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Proportion of people living below 50 percent of median income (%),Multidimensional poverty headcount ratio (UNDP) (% of population),Multidimensional poverty headcount ratio (World Bank) (% of population),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, male (% of male children in employment, ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Children in employment, wage workers (% of children in employment, ages 7-14)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population)
0,Afghanistan,195.91666666666666,132.75,180.83333333333334,162.75,182.125,195.29166666666666,189.54166666666666,201.5,60.666666666666664,85.54166666666667,118.08333333333333,212.375,43.5,60.125,,9.333333333333334,89.16666666666667,202.54166666666666,198.875,202.29166666666666,188.29166666666666,194.95833333333334,199.04166666666666,193.83333333333334,195.625,151.04166666666666,,,,,,,,,,22.625,161.25,175.83333333333334,238.25,149.70833333333334,,197.41666666666666,215.45833333333334,236.29166666666666,20.75,199.33333333333334,,93.0,,206.41666666666666,210.41666666666666,204.54166666666666,231.16666666666666,230.25,226.75,9.25,15.208333333333334,15.833333333333334,88.75,82.79166666666667,82.16666666666667,35.041666666666664,151.91666666666666,107.95833333333333,147.04166666666666,80.58333333333333,62.458333333333336,70.0,71.125,237.29166666666666,55.666666666666664,109.04166666666667,112.70833333333333,26.291666666666668,257.7083333333333,17.583333333333332,258.5416666666667,242.95833333333334
1,Africa Eastern and Southern,,,181.54166666666666,186.16666666666666,186.91666666666666,226.20833333333334,237.20833333333334,238.54166666666666,,50.541666666666664,,178.95833333333334,,,,,,,159.41666666666666,148.20833333333334,164.54166666666666,160.54166666666666,149.25,153.79166666666666,151.75,207.5,,,,,,,,,,,133.70833333333334,93.95833333333333,248.5,,,162.83333333333334,234.95833333333334,216.29166666666666,105.375,167.33333333333334,,,,140.91666666666666,154.16666666666666,157.91666666666666,186.875,194.45833333333334,192.70833333333334,,,,,,,,,,,,,,,232.95833333333334,,,,,233.79166666666666,42.333333333333336,232.0,218.25
2,Africa Western and Central,,,201.91666666666666,202.54166666666666,200.66666666666666,220.625,216.66666666666666,218.125,,58.625,,175.33333333333334,,,,,,,186.625,183.375,184.25,185.91666666666666,178.29166666666666,180.0,179.41666666666666,108.04166666666667,,,,,,,,,,44.958333333333336,142.91666666666666,94.125,222.45833333333334,147.58333333333334,49.125,180.66666666666666,228.875,220.70833333333334,195.45833333333334,188.04166666666666,,,,157.54166666666666,185.125,183.25,209.70833333333334,216.54166666666666,214.70833333333334,,,,,,,,188.16666666666666,89.79166666666667,157.875,83.79166666666667,,,,246.33333333333334,70.54166666666667,,,50.833333333333336,241.29166666666666,47.708333333333336,241.54166666666666,184.91666666666666
3,Albania,141.875,76.16666666666667,127.54166666666667,132.41666666666666,131.33333333333334,21.875,81.41666666666667,55.041666666666664,64.875,78.33333333333333,126.16666666666667,120.04166666666667,96.54166666666667,33.875,11.541666666666666,45.125,32.291666666666664,113.04166666666667,52.583333333333336,63.375,53.0,49.958333333333336,46.541666666666664,41.083333333333336,43.5,152.41666666666666,55.75,63.083333333333336,72.16666666666667,24.25,17.916666666666668,57.125,60.166666666666664,29.833333333333332,56.75,13.916666666666666,181.70833333333334,89.625,144.66666666666666,102.875,,85.91666666666667,67.66666666666667,64.20833333333333,95.41666666666667,122.25,38.916666666666664,15.0,27.666666666666668,172.25,119.375,134.58333333333334,150.91666666666666,164.95833333333334,158.875,50.458333333333336,56.083333333333336,63.791666666666664,47.541666666666664,41.916666666666664,34.208333333333336,41.0,140.95833333333334,125.25,156.29166666666666,200.20833333333334,5.166666666666667,17.625,10.958333333333334,60.875,2.0833333333333335,23.375,39.875,2.25,87.5,200.0,78.5,144.45833333333334
4,Algeria,142.20833333333334,27.791666666666668,71.625,52.5,70.54166666666667,120.25,95.875,104.625,,,47.625,129.875,99.95833333333333,,,,,177.04166666666666,131.16666666666666,108.16666666666667,125.79166666666667,130.54166666666666,137.04166666666666,132.29166666666666,134.75,62.0,104.29166666666667,118.08333333333333,47.041666666666664,92.16666666666667,20.666666666666668,38.625,47.416666666666664,42.875,57.083333333333336,,,35.333333333333336,140.04166666666666,89.08333333333333,,116.91666666666667,129.95833333333334,115.08333333333333,146.79166666666666,135.66666666666666,19.25,23.0,,101.75,84.83333333333333,56.416666666666664,90.875,99.75,96.45833333333333,73.375,82.25,77.83333333333333,24.625,15.75,20.166666666666668,29.416666666666668,206.41666666666666,185.41666666666666,191.66666666666666,203.41666666666666,66.5,61.541666666666664,62.875,38.791666666666664,,1.0,15.375,,118.875,106.45833333333333,145.29166666666666,92.625
5,American Samoa,43.708333333333336,,,,,,,,,,,,85.5,,,,,39.041666666666664,,,,,,,,,,,,,,,,,,,,182.33333333333334,85.0,66.0,,,186.41666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,156.45833333333334,,,,123.375,,,,,162.91666666666666,94.75,175.5,32.25
6,Andorra,27.375,,1.0,1.0,1.0,1.0,1.0,1.0,,,159.33333333333334,,,,,,,9.208333333333334,,,,,,,,62.0,46.333333333333336,20.083333333333332,116.625,17.833333333333332,114.95833333333333,168.08333333333334,104.33333333333333,88.75,107.54166666666667,161.5,170.0,208.0,9.75,59.791666666666664,,,4.958333333333333,1.0,87.375,28.75,,,,,,,,,,,,,,,,,,,,,,,,22.666666666666668,,,,,11.166666666666666,197.25,12.625,28.0
7,Angola,185.0,2.375,176.33333333333334,147.625,152.20833333333334,246.125,238.5,231.58333333333334,30.625,53.875,78.20833333333333,170.16666666666666,88.70833333333333,7.5,,,13.083333333333334,151.33333333333334,174.20833333333334,183.5,156.33333333333334,165.58333333333334,160.75,134.66666666666666,152.91666666666666,228.125,169.75,166.54166666666666,160.25,144.54166666666666,91.70833333333333,155.375,144.25,101.16666666666667,144.08333333333334,114.20833333333333,22.541666666666668,198.45833333333334,247.875,,,166.25,209.33333333333334,220.95833333333334,218.70833333333334,174.45833333333334,142.45833333333334,90.0,135.04166666666666,70.75,93.79166666666667,92.58333333333333,184.70833333333334,169.0,178.66666666666666,35.458333333333336,39.916666666666664,39.958333333333336,62.541666666666664,58.083333333333336,58.041666666666664,68.75,169.875,177.0,185.95833333333334,206.0,42.083333333333336,41.541666666666664,41.75,260.0,74.58333333333333,101.16666666666667,100.125,69.45833333333333,253.25,24.416666666666668,254.04166666666666,120.08333333333333
8,Antigua and Barbuda,49.875,,1.0,1.0,1.0,33.375,9.208333333333334,40.833333333333336,,,181.04166666666666,,,,,,,47.041666666666664,,,,,17.583333333333332,44.583333333333336,27.25,42.916666666666664,10.666666666666666,6.791666666666667,35.625,16.875,72.375,38.291666666666664,,,32.916666666666664,92.70833333333333,42.0,202.0,83.375,,,10.625,66.875,23.958333333333332,136.0,62.958333333333336,,,,,,,,,,,,,,,,,,,,156.125,,,,130.45833333333334,,,,,48.625,165.91666666666666,89.91666666666667,234.79166666666666
9,Arab World,,,105.125,118.41666666666667,111.95833333333333,172.04166666666666,171.75,171.58333333333334,,24.291666666666668,,100.25,,,,,,,147.5,155.83333333333334,141.625,144.08333333333334,146.125,139.20833333333334,143.25,108.04166666666667,,,,,,,,,,,,,189.5,,,169.0,151.41666666666666,171.66666666666666,175.08333333333334,119.41666666666667,,,,98.0,44.208333333333336,29.708333333333332,115.20833333333333,92.79166666666667,99.83333333333333,,,,,,,,,,,181.83333333333334,,,,157.79166666666666,,,,,181.29166666666666,72.41666666666667,182.04166666666666,132.83333333333334
10,Argentina,116.20833333333333,62.541666666666664,80.375,70.66666666666667,69.875,86.54166666666667,90.41666666666667,78.16666666666667,69.95833333333333,170.66666666666666,28.416666666666668,70.125,127.75,21.041666666666668,15.041666666666666,36.583333333333336,27.166666666666668,112.375,62.916666666666664,41.958333333333336,68.25,62.375,42.958333333333336,60.333333333333336,50.583333333333336,16.5,97.83333333333333,,,,,29.958333333333332,,,41.125,117.45833333333333,51.916666666666664,108.91666666666667,79.33333333333333,,,52.125,100.91666666666667,90.04166666666667,41.083333333333336,58.791666666666664,151.58333333333334,6.0,32.375,56.708333333333336,87.04166666666667,78.20833333333333,75.95833333333333,81.5,77.75,75.625,76.95833333333333,76.375,22.375,21.041666666666668,21.166666666666668,31.0,77.5,143.5,143.33333333333334,168.41666666666666,62.0,48.916666666666664,52.291666666666664,169.83333333333334,,57.5,53.791666666666664,,145.29166666666666,194.79166666666666,122.25,22.75
11,Armenia,131.70833333333334,87.41666666666667,86.70833333333333,82.45833333333333,85.375,66.45833333333333,92.5,69.875,47.041666666666664,140.5,140.66666666666666,135.54166666666666,79.20833333333333,32.25,13.25,21.416666666666668,47.958333333333336,130.54166666666666,19.75,63.875,19.875,18.75,15.541666666666666,12.166666666666666,14.416666666666666,38.375,79.79166666666667,73.95833333333333,110.08333333333333,69.79166666666667,100.16666666666667,113.95833333333333,79.41666666666667,63.625,84.75,186.33333333333334,10.25,179.75,69.95833333333333,73.375,,48.583333333333336,108.29166666666667,40.208333333333336,53.375,120.04166666666667,22.041666666666668,2.0,43.375,225.0,216.0,222.16666666666666,162.25,175.41666666666666,171.04166666666666,92.20833333333333,93.58333333333333,94.83333333333333,1.0,1.0,1.0,36.5,192.5,170.375,190.33333333333334,198.04166666666666,,,,89.58333333333333,3.875,12.25,35.833333333333336,6.416666666666667,64.75,192.625,82.25,108.83333333333333
12,Aruba,33.291666666666664,,,,,1.0,1.0,24.541666666666668,,,152.25,34.208333333333336,,,,,,18.375,53.791666666666664,57.958333333333336,56.5,51.916666666666664,45.875,59.458333333333336,49.5,11.5,10.666666666666666,,,,,37.125,53.333333333333336,80.41666666666667,73.125,151.08333333333334,124.91666666666667,146.0,98.04166666666667,,,,52.041666666666664,122.25,,,,,,,,,,,,,,,,,,,,,,147.54166666666666,,,,103.79166666666667,,,,,41.333333333333336,189.79166666666666,65.95833333333333,177.83333333333334
13,Australia,11.958333333333334,,1.0,1.0,1.0,1.0,1.0,1.0,74.29166666666667,190.16666666666666,12.0,16.666666666666668,26.25,,,,,38.833333333333336,,,,,,,,42.916666666666664,75.70833333333333,73.41666666666667,24.666666666666668,91.125,36.833333333333336,30.625,7.5,21.166666666666668,11.291666666666666,103.54166666666667,91.25,50.041666666666664,36.333333333333336,,56.916666666666664,44.583333333333336,10.666666666666666,83.33333333333333,40.916666666666664,14.75,52.958333333333336,,66.16666666666667,25.916666666666668,32.791666666666664,34.125,42.0,41.75,40.75,,,,,,,,43.333333333333336,123.83333333333333,51.583333333333336,96.91666666666667,,,,46.583333333333336,,,,,92.41666666666667,217.58333333333334,70.91666666666667,38.458333333333336
14,Austria,18.833333333333332,,1.0,1.0,1.0,1.0,1.0,1.0,93.45833333333333,181.29166666666666,26.375,14.25,89.5,,,,,31.208333333333332,,,,,,,,62.25,69.95833333333333,60.041666666666664,45.0,58.291666666666664,37.875,61.333333333333336,25.791666666666668,23.125,34.541666666666664,189.75,32.041666666666664,27.916666666666668,16.166666666666668,26.791666666666668,,,14.375,97.54166666666667,21.125,12.375,47.166666666666664,,25.0,51.166666666666664,36.791666666666664,47.666666666666664,47.75,30.875,36.041666666666664,,,,,,,,40.333333333333336,138.91666666666666,39.791666666666664,95.0,,,,28.208333333333332,,,,,75.0,240.75,19.875,125.70833333333333
15,Azerbaijan,177.04166666666666,61.583333333333336,89.5,82.91666666666667,90.66666666666667,41.75,39.916666666666664,40.0,123.79166666666667,154.66666666666666,93.91666666666667,135.625,106.33333333333333,116.0,,65.45833333333333,111.0,157.66666666666666,11.125,92.16666666666667,6.875,7.791666666666667,12.25,5.375,10.416666666666666,84.5,114.5,108.83333333333333,114.29166666666667,96.25,98.875,118.41666666666667,97.625,89.25,102.20833333333333,,,171.95833333333334,164.91666666666666,99.79166666666667,,138.83333333333334,122.16666666666667,72.54166666666667,207.83333333333334,161.16666666666666,3.8333333333333335,,,2.0416666666666665,4.5,4.0,170.25,178.0,175.875,68.95833333333333,74.25,74.5,29.041666666666668,23.75,23.5,22.541666666666668,92.58333333333333,144.91666666666666,54.916666666666664,119.54166666666667,13.208333333333334,34.875,25.5,143.41666666666666,7.875,40.791666666666664,45.041666666666664,11.458333333333334,50.875,126.41666666666667,110.33333333333333,144.79166666666666
16,"Bahamas, The",28.5,,1.0,1.0,1.0,1.0,1.0,1.0,137.875,56.166666666666664,121.04166666666667,29.041666666666668,106.54166666666667,,,,,41.416666666666664,,,,,,,,22.416666666666668,76.08333333333333,66.75,154.95833333333334,64.875,158.54166666666666,167.25,124.83333333333333,112.08333333333333,130.25,,,,74.375,,,49.291666666666664,99.125,84.58333333333333,136.29166666666666,39.875,,,,167.79166666666666,221.66666666666666,208.83333333333334,36.916666666666664,54.583333333333336,47.125,,,,,,,,47.208333333333336,187.04166666666666,131.75,179.375,,,,113.70833333333333,,,,,60.375,134.83333333333334,103.66666666666667,44.0
17,Bahrain,76.08333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,134.08333333333334,19.25,104.41666666666667,44.5,77.95833333333333,,,,,140.54166666666666,49.625,67.70833333333333,47.25,47.416666666666664,95.125,93.25,93.70833333333333,108.04166666666667,62.875,52.166666666666664,77.625,61.375,100.33333333333333,91.25,52.875,77.83333333333333,72.54166666666667,113.25,25.708333333333332,49.833333333333336,35.125,23.666666666666668,,1.0,9.916666666666666,69.45833333333333,190.20833333333334,56.25,,,,93.75,193.375,175.20833333333334,5.625,3.1666666666666665,3.4166666666666665,,,,,,,,28.375,16.291666666666668,6.666666666666667,46.458333333333336,,,,49.541666666666664,,,,,8.875,8.291666666666666,70.20833333333333,27.458333333333332
18,Bangladesh,177.66666666666666,102.58333333333333,193.58333333333334,179.625,190.54166666666666,188.375,178.08333333333334,194.20833333333334,41.708333333333336,131.625,66.70833333333333,184.625,98.41666666666667,81.70833333333333,28.666666666666668,60.958333333333336,40.208333333333336,178.625,138.91666666666666,46.625,158.625,147.79166666666666,159.04166666666666,175.25,168.95833333333334,239.33333333333334,166.58333333333334,163.70833333333334,27.583333333333332,177.75,119.5,81.91666666666667,124.83333333333333,153.95833333333334,143.58333333333334,51.583333333333336,31.833333333333332,120.66666666666667,101.04166666666667,109.54166666666667,35.416666666666664,192.33333333333334,208.875,238.375,234.41666666666666,226.29166666666666,10.333333333333334,69.0,112.5,220.66666666666666,185.33333333333334,188.91666666666666,174.33333333333334,162.66666666666666,166.375,19.291666666666668,10.5,13.416666666666666,78.70833333333333,87.5,84.58333333333333,36.208333333333336,121.83333333333333,42.5,83.95833333333333,65.16666666666667,82.66666666666667,76.625,80.08333333333333,229.125,8.666666666666666,134.16666666666666,136.375,68.125,135.95833333333334,97.70833333333333,162.79166666666666,223.875
19,Barbados,23.5,,1.0,1.0,1.0,4.125,8.958333333333334,6.041666666666667,133.66666666666666,93.54166666666667,139.04166666666666,47.083333333333336,,,,,,28.0,1.0,84.375,1.0,1.0,,,,42.916666666666664,30.958333333333332,26.291666666666668,71.41666666666667,17.208333333333332,49.75,81.70833333333333,67.04166666666667,64.20833333333333,55.791666666666664,122.125,101.33333333333333,22.291666666666668,81.83333333333333,,,57.5,83.5,53.75,83.20833333333333,47.833333333333336,,34.0,,207.79166666666666,212.91666666666666,215.20833333333334,46.291666666666664,59.833333333333336,51.625,,,,,,,,91.125,60.958333333333336,141.58333333333334,169.83333333333334,,,,141.875,,99.70833333333333,95.33333333333333,,64.625,204.08333333333334,68.0,220.45833333333334
20,Belarus,123.41666666666667,30.875,74.375,71.04166666666667,73.20833333333333,115.20833333333333,129.41666666666666,113.54166666666667,130.0,148.70833333333334,68.20833333333333,106.83333333333333,68.04166666666667,15.083333333333334,,46.458333333333336,9.0,107.33333333333333,11.125,76.375,12.166666666666666,13.25,13.666666666666666,10.625,11.208333333333334,102.0,84.20833333333333,94.375,99.0,77.33333333333333,68.08333333333333,87.08333333333333,43.0,50.958333333333336,59.166666666666664,,9.791666666666666,105.16666666666667,81.45833333333333,61.5,,22.041666666666668,65.75,27.166666666666668,112.0,113.875,21.0,,88.70833333333333,217.04166666666666,223.375,224.58333333333334,4.833333333333333,7.125,5.541666666666667,92.20833333333333,93.58333333333333,94.83333333333333,1.0,1.0,1.0,20.833333333333332,35.75,155.70833333333334,67.66666666666667,41.791666666666664,59.541666666666664,53.125,56.5,69.91666666666667,,12.666666666666666,21.083333333333332,,51.25,220.54166666666666,33.0,71.5
21,Belgium,21.666666666666668,,1.0,1.0,1.0,1.0,1.0,1.0,99.91666666666667,196.875,19.833333333333332,17.666666666666668,98.25,,,,,58.5,,,,,,,,22.416666666666668,77.875,73.91666666666667,38.916666666666664,73.45833333333333,36.875,52.541666666666664,22.416666666666668,16.083333333333332,28.958333333333332,166.41666666666666,33.375,72.04166666666667,16.791666666666668,15.208333333333334,,,30.791666666666668,,23.916666666666668,17.375,34.083333333333336,,50.791666666666664,69.25,58.833333333333336,67.29166666666667,47.291666666666664,40.291666666666664,41.375,,,,,,,,59.666666666666664,158.41666666666666,86.625,132.70833333333334,,,,22.958333333333332,,1.0,3.0,,126.0,248.54166666666666,52.416666666666664,11.75
22,Belize,98.625,52.625,106.54166666666667,109.08333333333333,115.58333333333333,160.375,167.04166666666666,162.20833333333334,141.375,20.833333333333332,159.95833333333334,101.625,105.33333333333333,58.583333333333336,,51.291666666666664,69.375,95.29166666666667,115.54166666666667,13.458333333333334,150.875,139.125,112.95833333333333,139.79166666666666,123.58333333333333,185.25,29.666666666666668,18.333333333333332,34.333333333333336,23.875,46.708333333333336,55.458333333333336,97.5,89.29166666666667,103.33333333333333,71.20833333333333,59.333333333333336,191.04166666666666,117.66666666666667,,23.5,68.83333333333333,129.95833333333334,131.83333333333334,178.16666666666666,121.04166666666667,,42.0,,23.791666666666668,38.625,32.666666666666664,95.33333333333333,99.83333333333333,95.91666666666667,45.541666666666664,59.458333333333336,,52.458333333333336,38.541666666666664,,,106.375,142.79166666666666,147.66666666666666,159.04166666666666,,,,197.29166666666666,,91.95833333333333,108.08333333333333,,155.5,88.16666666666667,176.79166666666666,174.58333333333334
23,Benin,131.91666666666666,105.16666666666667,210.16666666666666,219.16666666666666,215.04166666666666,233.08333333333334,243.5,235.08333333333334,,,126.625,189.66666666666666,52.333333333333336,29.625,,40.416666666666664,39.208333333333336,96.83333333333333,197.54166666666666,199.125,195.125,196.29166666666666,195.25,194.5,194.70833333333334,218.33333333333334,144.5,146.5,142.83333333333334,99.04166666666667,66.29166666666667,128.79166666666666,164.33333333333334,152.79166666666666,168.04166666666666,23.875,162.45833333333334,90.75,219.08333333333334,,,146.41666666666666,254.375,179.66666666666666,223.0,220.20833333333334,69.625,103.0,146.125,203.33333333333334,199.875,206.5,200.70833333333334,205.625,205.0,28.166666666666668,34.083333333333336,30.875,69.83333333333333,63.916666666666664,67.125,79.66666666666667,173.875,24.125,54.791666666666664,14.958333333333334,37.125,32.5,35.958333333333336,225.625,62.958333333333336,106.16666666666667,107.25,47.666666666666664,241.125,61.958333333333336,240.79166666666666,180.25
24,Bermuda,26.958333333333332,,,,,1.0,1.0,1.0,,,152.95833333333334,,113.875,,,,,44.541666666666664,,,,,,,,11.5,8.5,,,,,49.875,,,61.125,101.25,11.958333333333334,153.125,36.375,,,,18.208333333333332,65.83333333333333,,,,,,,,,,,,,,,,,,,45.25,95.45833333333333,43.0,106.70833333333333,,,,55.666666666666664,,,,,51.333333333333336,216.75,31.208333333333332,1.0
25,Bhutan,37.791666666666664,48.375,123.29166666666667,104.91666666666667,131.58333333333334,139.08333333333334,105.04166666666667,136.625,106.08333333333333,54.5,171.16666666666666,154.5,74.95833333333333,82.33333333333333,,101.16666666666667,61.625,44.208333333333336,147.41666666666666,149.625,144.16666666666666,144.16666666666666,174.91666666666666,170.125,171.66666666666666,,88.875,71.04166666666667,118.45833333333333,82.79166666666667,152.70833333333334,151.95833333333334,121.33333333333333,151.41666666666666,148.54166666666666,142.70833333333334,14.208333333333334,175.29166666666666,120.16666666666667,126.75,38.0,103.20833333333333,180.91666666666666,163.41666666666666,190.70833333333334,173.625,75.91666666666667,,87.875,229.125,231.125,231.375,189.375,179.91666666666666,181.91666666666666,,,,,,,,145.45833333333334,59.25,140.75,41.666666666666664,,,,119.20833333333333,,89.75,85.625,,105.41666666666667,112.08333333333333,143.625,209.66666666666666
26,Bolivia,144.70833333333334,116.33333333333333,132.66666666666666,98.41666666666667,116.04166666666667,185.58333333333334,133.29166666666666,168.625,111.41666666666667,136.16666666666666,83.33333333333333,157.0,99.16666666666667,76.41666666666667,33.166666666666664,64.54166666666667,37.166666666666664,140.66666666666666,65.75,109.79166666666667,41.875,51.416666666666664,99.58333333333333,73.04166666666667,91.875,68.83333333333333,112.16666666666667,110.70833333333333,80.83333333333333,113.58333333333333,85.16666666666667,88.16666666666667,79.29166666666667,74.58333333333333,76.5,,,,168.16666666666666,,54.333333333333336,120.29166666666667,198.45833333333334,172.95833333333334,116.20833333333333,156.08333333333334,153.5,55.0,94.83333333333333,66.125,47.5,54.25,167.20833333333334,166.33333333333334,169.70833333333334,67.58333333333333,70.375,68.83333333333333,30.416666666666668,27.625,29.166666666666668,56.208333333333336,107.16666666666667,40.333333333333336,64.75,61.5,49.333333333333336,49.333333333333336,49.875,195.70833333333334,14.416666666666666,68.95833333333333,75.5,39.833333333333336,177.33333333333334,117.0,182.5,97.75
27,Bosnia and Herzegovina,123.08333333333333,113.45833333333333,153.83333333333334,158.70833333333334,153.33333333333334,62.541666666666664,51.375,61.875,119.75,40.083333333333336,,110.91666666666667,90.83333333333333,59.666666666666664,26.666666666666668,26.125,71.08333333333333,140.20833333333334,32.458333333333336,75.04166666666667,29.458333333333332,29.291666666666668,57.375,28.25,51.416666666666664,126.58333333333333,100.375,91.625,136.5,90.83333333333333,143.20833333333334,151.5,92.75,76.0,97.20833333333333,,,,104.41666666666667,65.25,,89.04166666666667,82.66666666666667,27.208333333333332,38.833333333333336,95.33333333333333,61.75,32.0,,36.541666666666664,73.41666666666667,58.25,85.625,70.0,75.125,87.70833333333333,91.08333333333333,91.0,6.25,6.916666666666667,6.75,44.083333333333336,175.0,195.79166666666666,166.83333333333334,225.16666666666666,29.25,2.0,11.375,46.916666666666664,,17.0,13.375,,43.25,216.91666666666666,27.083333333333332,172.83333333333334
28,Botswana,45.333333333333336,114.41666666666667,147.08333333333334,141.625,141.20833333333334,220.375,227.29166666666666,210.58333333333334,91.41666666666667,31.125,89.20833333333333,102.625,41.75,80.75,6.708333333333333,35.5,66.45833333333333,32.666666666666664,91.5,6.0,116.08333333333333,107.66666666666667,104.95833333333333,131.375,115.20833333333333,,124.25,112.29166666666667,146.83333333333334,114.875,157.08333333333334,163.08333333333334,99.08333333333333,115.375,116.91666666666667,170.20833333333334,89.0,13.375,185.54166666666666,,45.333333333333336,88.54166666666667,174.75,67.75,103.0,100.83333333333333,153.75,62.0,107.04166666666667,114.125,133.58333333333334,135.08333333333334,93.875,83.45833333333333,87.04166666666667,,,,,,,,160.125,195.66666666666666,180.41666666666666,224.83333333333334,,,,162.25,,,,,172.04166666666666,36.708333333333336,182.54166666666666,110.375
29,Brazil,104.04166666666667,24.5,106.16666666666667,88.125,88.66666666666667,137.0,85.75,107.0,40.458333333333336,181.875,8.583333333333334,84.04166666666667,45.125,15.166666666666666,1.7083333333333333,36.083333333333336,20.458333333333332,125.45833333333333,67.66666666666667,25.5,84.625,75.54166666666667,84.54166666666667,101.04166666666667,94.08333333333333,99.375,176.91666666666666,163.5,91.875,169.91666666666666,96.875,110.04166666666667,56.791666666666664,56.0,68.95833333333333,140.0,35.666666666666664,102.04166666666667,94.41666666666667,75.875,,60.458333333333336,139.95833333333334,93.83333333333333,45.25,68.91666666666667,159.04166666666666,39.0,84.29166666666667,37.5,72.875,62.25,91.91666666666667,108.625,98.75,79.04166666666667,81.375,77.125,18.958333333333332,16.25,20.833333333333332,13.333333333333334,78.125,146.66666666666666,137.58333333333334,174.58333333333334,83.04166666666667,80.875,81.95833333333333,179.04166666666666,,87.58333333333333,87.08333333333333,,58.791666666666664,154.79166666666666,103.70833333333333,39.625
30,British Virgin Islands,,,,,,69.29166666666667,84.375,73.375,,,,,,,,,,,,,,,,,,22.416666666666668,9.083333333333334,19.583333333333332,101.70833333333333,18.541666666666668,115.66666666666667,59.833333333333336,91.75,74.20833333333333,65.70833333333333,134.5,105.08333333333333,29.083333333333332,63.583333333333336,,,32.541666666666664,71.45833333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,11.833333333333334,121.5,58.958333333333336,175.625
